datetime,W
2023-10-12T10:06:00Z,1266
2023-10-12T10:10:00Z,1191
2023-10-12T10:12:00Z,911
2023-10-12T10:14:00Z,911
2023-10-12T10:16:00Z,1011
2023-10-12T10:22:00Z,1101.5
2023-10-12T10:26:00Z,1409
2023-10-12T10:32:00Z,1754
2023-10-12T10:36:00Z,1669
2023-10-12T10:42:00Z,1647
2023-10-12T10:46:00Z,1747
2023-10-12T10:52:00Z,1582
2023-10-12T10:56:00Z,1390
2023-10-12T11:02:00Z,1426
2023-10-12T11:06:00Z,1402
2023-10-12T11:12:00Z,1186
2023-10-12T11:16:00Z,1068
2023-10-12T11:22:00Z,939
2023-10-12T11:26:00Z,702
2023-10-12T11:32:00Z,818
2023-10-12T11:36:00Z,1008
2023-10-12T11:42:00Z,1223
2023-10-12T11:46:00Z,1480
2023-10-12T11:52:00Z,1650
2023-10-12T11:56:00Z,1578
2023-10-12T12:02:00Z,1112
2023-10-12T12:06:00Z,833
2023-10-12T12:12:00Z,1288
2023-10-12T12:16:00Z,1541
2023-10-12T12:22:00Z,1430
2023-10-12T12:26:00Z,1426
2023-10-12T12:32:00Z,1345
2023-10-12T12:36:00Z,1444
2023-10-12T12:42:00Z,1106
2023-10-12T12:46:00Z,1103
2023-10-12T12:52:00Z,1471
2023-10-12T12:56:00Z,1479
2023-10-12T13:02:00Z,1087
2023-10-12T13:06:00Z,1013
2023-10-12T13:12:00Z,1402
2023-10-12T13:16:00Z,1174
2023-10-12T13:22:00Z,891
2023-10-12T13:26:00Z,1169
2023-10-12T13:30:00Z,1207
2023-10-12T13:36:00Z,908
2023-10-12T13:42:00Z,1058
2023-10-12T13:46:00Z,1319
2023-10-12T13:52:00Z,1194
2023-10-12T13:56:00Z,942
2023-10-12T14:00:00Z,942
2023-10-12T14:02:00Z,1135
2023-10-12T14:06:00Z,1368
2023-10-12T14:10:00Z,1289
2023-10-12T14:16:00Z,1231
2023-10-12T14:20:00Z,1223
2023-10-12T14:26:00Z,1036
2023-10-12T14:30:00Z,705
2023-10-12T14:36:00Z,576
2023-10-12T14:40:00Z,614
2023-10-12T14:46:00Z,733
2023-10-12T14:50:00Z,793
2023-10-12T14:56:00Z,656
2023-10-12T15:00:00Z,684
2023-10-12T15:06:00Z,817
2023-10-12T15:10:00Z,645
2023-10-12T15:16:00Z,374
2023-10-12T15:20:00Z,223
2023-10-12T15:26:00Z,312
2023-10-12T15:30:00Z,321
2023-10-12T15:36:00Z,201
2023-10-12T15:40:00Z,409
2023-10-12T15:46:00Z,495
2023-10-12T15:50:00Z,388
2023-10-12T15:56:00Z,381
2023-10-12T16:00:00Z,368
2023-10-12T16:06:00Z,402
2023-10-12T16:10:00Z,420
2023-10-12T16:16:00Z,350
2023-10-12T16:20:00Z,297
2023-10-12T16:26:00Z,263
2023-10-12T16:30:00Z,218
2023-10-12T16:36:00Z,171
2023-10-12T16:40:00Z,120
2023-10-12T16:46:00Z,90
2023-10-12T16:50:00Z,70
2023-10-12T16:56:00Z,50
2023-10-12T17:02:00Z,36
2023-10-12T17:06:00Z,21
2023-10-12T17:10:00Z,12
2023-10-12T17:16:00Z,4
2023-10-12T17:20:00Z,0
2023-10-13T04:56:00Z,0
2023-10-13T05:12:00Z,4
2023-10-13T05:16:00Z,8
2023-10-13T05:26:00Z,12
2023-10-13T05:32:00Z,19
2023-10-13T05:36:00Z,63
2023-10-13T05:42:00Z,119
2023-10-13T05:46:00Z,132
2023-10-13T05:52:00Z,160
2023-10-13T05:56:00Z,171
2023-10-13T06:02:00Z,118
2023-10-13T06:06:00Z,82
2023-10-13T06:12:00Z,73
2023-10-13T06:16:00Z,72
2023-10-13T06:20:00Z,82
2023-10-13T06:26:00Z,108
2023-10-13T06:30:00Z,137
2023-10-13T06:36:00Z,213
2023-10-13T06:40:00Z,272
2023-10-13T06:46:00Z,294
2023-10-13T06:50:00Z,333
2023-10-13T06:56:00Z,324
2023-10-13T07:00:00Z,337
2023-10-13T07:06:00Z,397
2023-10-13T07:10:00Z,458
2023-10-13T07:16:00Z,500
2023-10-13T07:20:00Z,537
2023-10-13T07:26:00Z,452
2023-10-13T07:30:00Z,393
2023-10-13T07:36:00Z,464
2023-10-13T07:40:00Z,495
2023-10-13T07:46:00Z,658
2023-10-13T07:50:00Z,771
2023-10-13T07:56:00Z,715
2023-10-13T07:58:00Z,715
2023-10-13T08:00:00Z,632
2023-10-13T08:06:00Z,636
2023-10-13T08:10:00Z,480
2023-10-13T08:16:00Z,606
2023-10-13T08:20:00Z,973
2023-10-13T08:26:00Z,1025
2023-10-13T08:30:00Z,1060
2023-10-13T08:36:00Z,1074
2023-10-13T08:40:00Z,1114
2023-10-13T08:46:00Z,951
2023-10-13T08:50:00Z,781
2023-10-13T08:56:00Z,1107
2023-10-13T09:00:00Z,1392
2023-10-13T09:06:00Z,1536
2023-10-13T09:10:00Z,1535
2023-10-13T09:16:00Z,1315
2023-10-13T09:20:00Z,1197
2023-10-13T09:26:00Z,1381
2023-10-13T09:30:00Z,1336
2023-10-13T09:36:00Z,1047
2023-10-13T09:40:00Z,1359
2023-10-13T09:46:00Z,1422
2023-10-13T09:50:00Z,1271
2023-10-13T09:56:00Z,1228
2023-10-13T10:00:00Z,1108
2023-10-13T10:06:00Z,1223
2023-10-13T10:10:00Z,1320
2023-10-13T10:16:00Z,1375
2023-10-13T10:20:00Z,1241
2023-10-13T10:26:00Z,1242
2023-10-13T10:30:00Z,1630
2023-10-13T10:36:00Z,1787
2023-10-13T10:40:00Z,1335
2023-10-13T10:46:00Z,1001
2023-10-13T10:50:00Z,1256
2023-10-13T10:56:00Z,1476
2023-10-13T11:00:00Z,1353
2023-10-13T11:06:00Z,1301
2023-10-13T11:10:00Z,1241
2023-10-13T11:14:00Z,945
2023-10-13T11:20:00Z,1145
2023-10-13T11:24:00Z,1297
2023-10-13T11:30:00Z,1037
2023-10-13T11:34:00Z,1206
2023-10-13T11:40:00Z,1326
2023-10-13T11:44:00Z,1073
2023-10-13T11:50:00Z,1011
2023-10-13T11:54:00Z,927
2023-10-13T12:00:00Z,762
2023-10-13T12:04:00Z,713
2023-10-13T12:10:00Z,909
2023-10-13T12:14:00Z,1054
2023-10-13T12:20:00Z,827
2023-10-13T12:24:00Z,1018
2023-10-13T12:30:00Z,1210
2023-10-13T12:34:00Z,1124
2023-10-13T12:40:00Z,1090
2023-10-13T12:44:00Z,678
2023-10-13T12:50:00Z,613
2023-10-13T12:54:00Z,1171
2023-10-13T13:00:00Z,940
2023-10-13T13:04:00Z,480
2023-10-13T13:10:00Z,972
2023-10-13T13:14:00Z,1098
2023-10-13T13:20:00Z,1051
2023-10-13T13:24:00Z,1403
2023-10-13T13:30:00Z,1510
2023-10-13T13:34:00Z,1536
2023-10-13T13:40:00Z,1426
2023-10-13T13:44:00Z,1313
2023-10-13T13:48:00Z,1313
2023-10-13T13:50:00Z,1046
2023-10-13T13:54:00Z,775
2023-10-13T14:00:00Z,900
2023-10-13T14:04:00Z,915
2023-10-13T14:10:00Z,852
2023-10-13T14:14:00Z,678
2023-10-13T14:20:00Z,730
2023-10-13T14:24:00Z,750
2023-10-13T14:30:00Z,519
2023-10-13T14:34:00Z,564
2023-10-13T14:40:00Z,597
2023-10-13T14:44:00Z,639
2023-10-13T14:50:00Z,597
2023-10-13T14:54:00Z,437
2023-10-13T15:00:00Z,306
2023-10-13T15:04:00Z,261
2023-10-13T15:10:00Z,332
2023-10-13T15:14:00Z,618
2023-10-13T15:20:00Z,669
2023-10-13T15:24:00Z,396
2023-10-13T15:30:00Z,217
2023-10-13T15:34:00Z,249
2023-10-13T15:40:00Z,446
2023-10-13T15:44:00Z,572
2023-10-13T15:50:00Z,564
2023-10-13T15:54:00Z,455
2023-10-13T15:58:00Z,312
2023-10-13T16:04:00Z,274
2023-10-13T16:08:00Z,223
2023-10-13T16:14:00Z,140
2023-10-13T16:18:00Z,179
2023-10-13T16:24:00Z,275
2023-10-13T16:28:00Z,291
2023-10-13T16:34:00Z,200
2023-10-13T16:38:00Z,162
2023-10-13T16:44:00Z,133
2023-10-13T16:48:00Z,76
2023-10-13T16:54:00Z,41
2023-10-13T17:00:00Z,29
2023-10-13T17:04:00Z,25
2023-10-13T17:08:00Z,17
2023-10-13T17:14:00Z,7
2023-10-14T04:56:00Z,0
2023-10-14T05:10:00Z,5
2023-10-14T05:16:00Z,8
2023-10-14T05:20:00Z,16
2023-10-14T05:26:00Z,27
2023-10-14T05:30:00Z,30
2023-10-14T05:36:00Z,27
2023-10-14T05:40:00Z,26
2023-10-14T05:46:00Z,32
2023-10-14T05:50:00Z,43
2023-10-14T05:56:00Z,57
2023-10-14T06:00:00Z,83
2023-10-14T06:06:00Z,124
2023-10-14T06:10:00Z,168
2023-10-14T06:16:00Z,195
2023-10-14T06:20:00Z,205
2023-10-14T06:26:00Z,215
