datetime,temperature_C
2023-10-12T10:10:00Z,55.8
2023-10-12T10:12:00Z,56.6
2023-10-12T10:14:00Z,56.6
2023-10-12T10:16:00Z,56.5
2023-10-12T10:22:00Z,56.3
2023-10-12T10:26:00Z,57.4
2023-10-12T10:36:00Z,61.5
2023-10-12T10:42:00Z,61.4
2023-10-12T10:52:00Z,63.4
2023-10-12T11:02:00Z,64
2023-10-12T11:16:00Z,60.2
2023-10-12T11:22:00Z,59
2023-10-12T11:30:00Z,56
2023-10-12T11:42:00Z,54.7
2023-10-12T11:46:00Z,56
2023-10-12T11:52:00Z,56.6
2023-10-12T12:02:00Z,57.4
2023-10-12T12:06:00Z,56.6
2023-10-12T12:12:00Z,57.9
2023-10-12T12:16:00Z,58.2
2023-10-12T12:20:00Z,58.5
2023-10-12T12:26:00Z,60.4
2023-10-12T12:30:00Z,61
2023-10-12T12:36:00Z,62.8
2023-10-12T12:46:00Z,59.7
2023-10-12T12:50:00Z,60.4
2023-10-12T13:06:00Z,60.5
2023-10-12T13:10:00Z,61.7
2023-10-12T13:16:00Z,62
2023-10-12T13:26:00Z,61
2023-10-12T13:36:00Z,58
2023-10-12T13:40:00Z,56.3
2023-10-12T13:46:00Z,57.2
2023-10-12T13:50:00Z,58
2023-10-12T14:00:00Z,56.8
2023-10-12T14:06:00Z,55.2
2023-10-12T14:10:00Z,55.9
2023-10-12T14:16:00Z,55.8
2023-10-12T14:20:00Z,54.4
2023-10-12T14:36:00Z,50.8
2023-10-12T14:40:00Z,48.9
2023-10-12T14:46:00Z,49
2023-10-12T14:50:00Z,47.3
2023-10-12T14:56:00Z,47.9
2023-10-12T15:00:00Z,46.2
2023-10-12T15:06:00Z,47.8
2023-10-12T15:16:00Z,44.4
2023-10-12T15:20:00Z,43.9
2023-10-12T15:26:00Z,42.7
2023-10-12T15:30:00Z,41.3
2023-10-12T15:36:00Z,40.7
2023-10-12T15:40:00Z,39.3
2023-10-12T15:46:00Z,41
2023-10-12T15:50:00Z,39.5
2023-10-12T15:56:00Z,39.9
2023-10-12T16:00:00Z,38.1
2023-10-12T16:06:00Z,38.6
2023-10-12T16:10:00Z,37.4
2023-10-12T16:16:00Z,37.9
2023-10-12T16:20:00Z,36.7
2023-10-12T16:26:00Z,37.2
2023-10-12T16:30:00Z,35.5
2023-10-12T16:36:00Z,35.9
2023-10-12T16:40:00Z,34.6
2023-10-12T16:46:00Z,33.2
2023-10-12T16:50:00Z,33.4
2023-10-12T16:56:00Z,33.7
2023-10-12T17:00:00Z,32.1
2023-10-12T17:06:00Z,32.5
2023-10-12T17:10:00Z,33
2023-10-12T17:14:00Z,31.5
2023-10-12T17:18:00Z,-10
2023-10-13T04:56:00Z,-10
2023-10-13T05:06:00Z,27
2023-10-13T05:12:00Z,26.9
2023-10-13T05:16:00Z,26.8
2023-10-13T05:22:00Z,26.7
2023-10-13T05:26:00Z,26.4
2023-10-13T05:30:00Z,26.2
2023-10-13T05:36:00Z,26.1
2023-10-13T05:40:00Z,27.5
2023-10-13T05:46:00Z,29
2023-10-13T05:50:00Z,28.2
2023-10-13T05:56:00Z,30
2023-10-13T06:00:00Z,29.9
2023-10-13T06:06:00Z,29.8
2023-10-13T06:16:00Z,29.7
2023-10-13T06:20:00Z,29.6
2023-10-13T06:26:00Z,29.2
2023-10-13T06:30:00Z,30.9
2023-10-13T06:36:00Z,31.8
2023-10-13T06:40:00Z,32.9
2023-10-13T06:46:00Z,32.2
2023-10-13T06:50:00Z,33.1
2023-10-13T06:56:00Z,34.9
2023-10-13T07:00:00Z,34.1
2023-10-13T07:06:00Z,35.2
2023-10-13T07:10:00Z,36.3
2023-10-13T07:16:00Z,37.3
2023-10-13T07:20:00Z,38.1
2023-10-13T07:26:00Z,40
2023-10-13T07:30:00Z,39.9
2023-10-13T07:36:00Z,38.2
2023-10-13T07:40:00Z,39.9
2023-10-13T07:46:00Z,40.8
2023-10-13T07:50:00Z,41.2
2023-10-13T07:56:00Z,42.4
2023-10-13T08:00:00Z,42.3
2023-10-13T08:06:00Z,44
2023-10-13T08:10:00Z,42.6
2023-10-13T08:16:00Z,43.8
2023-10-13T08:20:00Z,44.4
2023-10-13T08:30:00Z,48.7
2023-10-13T08:36:00Z,50.7
2023-10-13T08:40:00Z,51.2
2023-10-13T08:46:00Z,52.9
2023-10-13T08:50:00Z,51.9
2023-10-13T08:56:00Z,51.3
2023-10-13T09:00:00Z,52.5
2023-10-13T09:10:00Z,57
2023-10-13T09:16:00Z,57.4
2023-10-13T09:20:00Z,57.7
2023-10-13T09:26:00Z,59.7
2023-10-13T09:36:00Z,58.4
2023-10-13T09:40:00Z,59.9
2023-10-13T09:44:00Z,60.5
2023-10-13T09:54:00Z,59.2
2023-10-13T10:00:00Z,58.4
2023-10-13T10:06:00Z,59.7
2023-10-13T10:10:00Z,60
2023-10-13T10:14:00Z,59.5
2023-10-13T10:20:00Z,59.4
2023-10-13T10:24:00Z,59.5
2023-10-13T10:34:00Z,64
2023-10-13T10:40:00Z,63.8
2023-10-13T10:44:00Z,62.2
2023-10-13T10:50:00Z,62.8
2023-10-13T10:54:00Z,64
2023-10-13T10:58:00Z,64
2023-10-13T11:00:00Z,62.6
2023-10-13T11:04:00Z,62.8
2023-10-13T11:10:00Z,62.6
2023-10-13T11:14:00Z,62
2023-10-13T11:20:00Z,60.2
2023-10-13T11:24:00Z,61
2023-10-13T11:30:00Z,59.4
2023-10-13T11:34:00Z,60
2023-10-13T11:40:00Z,58.4
2023-10-13T11:44:00Z,59
2023-10-13T11:50:00Z,57.4
2023-10-13T11:54:00Z,56.5
2023-10-13T12:00:00Z,55.8
2023-10-13T12:10:00Z,52.2
2023-10-13T12:14:00Z,53.8
2023-10-13T12:24:00Z,52.4
2023-10-13T12:30:00Z,53.6
2023-10-13T12:34:00Z,53.8
2023-10-13T12:40:00Z,53.3
2023-10-13T12:44:00Z,52.2
2023-10-13T12:50:00Z,51.3
2023-10-13T12:54:00Z,52.5
2023-10-13T13:00:00Z,51.3
2023-10-13T13:04:00Z,51
2023-10-13T13:10:00Z,51.8
2023-10-13T13:14:00Z,51.6
2023-10-13T13:20:00Z,52.8
2023-10-13T13:24:00Z,53.6
2023-10-13T13:30:00Z,55.3
2023-10-13T13:40:00Z,57.5
2023-10-13T13:44:00Z,59
2023-10-13T13:48:00Z,59
2023-10-13T13:50:00Z,57.4
2023-10-13T13:54:00Z,55.8
2023-10-13T13:58:00Z,55.8
2023-10-13T14:00:00Z,54.5
2023-10-13T14:10:00Z,51.5
2023-10-13T14:14:00Z,50.3
2023-10-13T14:20:00Z,49.8
2023-10-13T14:30:00Z,47.9
2023-10-13T14:34:00Z,46.9
2023-10-13T14:40:00Z,45.3
2023-10-13T14:44:00Z,44.3
2023-10-13T14:50:00Z,44.7
2023-10-13T14:54:00Z,43.8
2023-10-13T14:58:00Z,43
2023-10-13T15:04:00Z,41.6
2023-10-13T15:08:00Z,41.7
2023-10-13T15:14:00Z,41.8
2023-10-13T15:18:00Z,41.7
2023-10-13T15:24:00Z,41.8
2023-10-13T15:28:00Z,40.9
2023-10-13T15:34:00Z,39.8
2023-10-13T15:44:00Z,39.7
2023-10-13T15:48:00Z,39.6
2023-10-13T15:54:00Z,39.8
2023-10-13T15:58:00Z,38.1
2023-10-13T16:04:00Z,38.2
2023-10-13T16:08:00Z,39
2023-10-13T16:14:00Z,37.8
2023-10-13T16:18:00Z,36.5
2023-10-13T16:20:00Z,36.2
2023-10-13T16:24:00Z,36.4
2023-10-13T16:28:00Z,36.5
2023-10-13T16:34:00Z,36.8
2023-10-13T16:38:00Z,37
2023-10-13T16:44:00Z,35.4
2023-10-13T16:48:00Z,34.3
2023-10-13T16:54:00Z,34.9
2023-10-13T17:00:00Z,33.5
2023-10-13T17:04:00Z,34
2023-10-13T17:08:00Z,32.5
2023-10-13T17:14:00Z,33
2023-10-14T04:56:00Z,-10
2023-10-14T05:06:00Z,26.7
2023-10-14T05:10:00Z,26.5
2023-10-14T05:16:00Z,26.3
2023-10-14T05:20:00Z,26.1
2023-10-14T05:26:00Z,27.9
2023-10-14T05:30:00Z,27.7
2023-10-14T05:36:00Z,27.5
2023-10-14T05:40:00Z,27.4
2023-10-14T05:46:00Z,27.3
2023-10-14T05:50:00Z,27.1
2023-10-14T05:56:00Z,28.9
2023-10-14T06:00:00Z,28.7
2023-10-14T06:06:00Z,30
2023-10-14T06:10:00Z,29.4
2023-10-14T06:16:00Z,30.7
2023-10-14T06:20:00Z,30.1
2023-10-14T06:26:00Z,31.4
2023-10-14T06:30:00Z,32.9
2023-10-14T06:36:00Z,32.6
2023-10-14T06:40:00Z,33.7
2023-10-14T06:46:00Z,35
2023-10-14T06:50:00Z,34.8
2023-10-14T06:54:00Z,34.6
2023-10-14T07:06:00Z,34.7
2023-10-14T07:10:00Z,34.9
2023-10-14T07:16:00Z,34.8
2023-10-14T07:18:00Z,34.8
2023-10-14T07:20:00Z,34.1
2023-10-14T07:26:00Z,35.4
2023-10-14T07:30:00Z,36.3
2023-10-14T07:34:00Z,37.5
2023-10-14T07:38:00Z,37.5
2023-10-14T07:40:00Z,38.4
2023-10-14T07:44:00Z,38.8
2023-10-14T07:52:00Z,39.2
2023-10-14T07:54:00Z,41.1
2023-10-14T07:58:00Z,43
2023-10-14T08:00:00Z,44
2023-10-14T08:02:00Z,44
2023-10-14T08:04:00Z,43.2
2023-10-14T08:10:00Z,43.2
2023-10-14T08:14:00Z,43.3
2023-10-14T08:20:00Z,46.4
2023-10-14T08:24:00Z,47.4
2023-10-14T08:30:00Z,48.5
2023-10-14T08:34:00Z,47.2
2023-10-14T08:40:00Z,48.7
2023-10-14T08:48:00Z,50
2023-10-14T08:50:00Z,50.5
2023-10-14T08:54:00Z,51.9
2023-10-14T09:00:00Z,51.2
2023-10-14T09:04:00Z,52.2
2023-10-14T09:10:00Z,53.2
2023-10-14T09:14:00Z,54.9
2023-10-14T09:20:00Z,55.5
2023-10-14T09:24:00Z,56.9
2023-10-14T09:30:00Z,56.8
2023-10-14T09:34:00Z,57.9
2023-10-14T10:00:00Z,54.9
2023-10-14T10:04:00Z,57.2
2023-10-14T10:14:00Z,59.2
2023-10-14T10:20:00Z,60
2023-10-14T10:30:00Z,57.5
2023-10-14T10:34:00Z,56.2
2023-10-14T10:40:00Z,55.6
2023-10-14T10:44:00Z,55.8
2023-10-14T10:50:00Z,54.7
2023-10-14T10:54:00Z,53.8
2023-10-14T11:04:00Z,52.8
2023-10-14T11:10:00Z,51.5
2023-10-14T11:14:00Z,51.9
2023-10-14T11:20:00Z,50.7
2023-10-14T11:24:00Z,50.8
2023-10-14T11:30:00Z,51
2023-10-14T11:34:00Z,50.5
2023-10-14T11:40:00Z,51.8
2023-10-14T11:44:00Z,51.9
2023-10-14T11:50:00Z,52
2023-10-14T11:54:00Z,50.3
2023-10-14T12:00:00Z,50.8
2023-10-14T12:04:00Z,51
2023-10-14T12:14:00Z,49.3
2023-10-14T12:20:00Z,48.3
2023-10-14T12:24:00Z,48.7
2023-10-14T12:30:00Z,47.4
2023-10-14T12:38:00Z,46.5
2023-10-14T12:44:00Z,47.5
2023-10-14T12:46:00Z,47.5
2023-10-14T12:48:00Z,48.7
2023-10-14T12:54:00Z,47.7
2023-10-14T12:58:00Z,47.8
2023-10-14T13:04:00Z,47.9
2023-10-14T13:08:00Z,47
2023-10-14T13:18:00Z,43.7
2023-10-14T13:24:00Z,43.2
2023-10-14T13:28:00Z,43.9
2023-10-14T13:34:00Z,42.4
2023-10-14T13:38:00Z,42.5
2023-10-14T13:48:00Z,42.8
2023-10-14T13:54:00Z,41.3
2023-10-14T13:58:00Z,42.9
2023-10-14T14:08:00Z,44.9
2023-10-14T14:14:00Z,46.8
2023-10-14T14:18:00Z,46.4
2023-10-14T14:24:00Z,47.5
2023-10-14T14:28:00Z,49
2023-10-14T14:34:00Z,49.6
2023-10-14T14:38:00Z,49.3
2023-10-14T14:48:00Z,49
2023-10-14T14:54:00Z,47.8
2023-10-14T15:04:00Z,43.9
2023-10-14T15:08:00Z,42.6
2023-10-14T15:14:00Z,41.8
2023-10-14T15:18:00Z,40.9
2023-10-14T15:24:00Z,39.5
2023-10-14T15:28:00Z,38.2
2023-10-14T15:34:00Z,37.4
2023-10-14T15:38:00Z,36.4
